組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BLLN0102G-HBS2,D,BXCD,,,1,1,2018/3/1 12:00:00,35
BLLN0102G-HBS2,D,BQAG,,,1,1,2018/3/1 12:00:00,36
BLLN0876ENA45,O,PDGF,ALLN0876ENA45,,1,1,2018/3/1 12:00:00,1
BLLN0876ENA45,O,PDCA,,,1,1,2018/3/1 12:00:00,2
BLLN0876ENA45,O,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,4
BLLN0876ENA45,O,PDPS,,,1,1,2018/3/1 12:00:00,5
BLLN0876ENA45,O,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,6
BLLN0876ENA45,O,PDEE,,,1,1,2018/3/1 12:00:00,7
BLLN0876ENA45,O,PDDC,,,1,1,2018/3/1 12:00:00,8
BLLN0876ENA45,O,PDRC,PYE022    M1032,,1,1,2018/3/1 12:00:00,9
BLLN0876ENA45,O,PDAL,,,1,1,2018/3/1 12:00:00,10
BLLN0876ENA45,O,PDTH,,,1,1,2018/3/1 12:00:00,11
BLLN0876ENA45,O,PDIS,,,1,1,2018/3/1 12:00:00,12
BLLN0876ENA45,O,PDGA,,,1,1,2018/3/1 12:00:00,13
BLLN0876ENA45,O,PDQP,PKPGC,,1,1,2018/3/1 12:00:00,14
BLLN0876ENA45,O,PDIT,,,1,1,2018/3/1 12:00:00,15
BLLN0876ENA45,O,PDQZ,,,1,1,2018/3/1 12:00:00,16
BLLN0876ENA45,O,BQA1-A,,,1,1,2018/3/1 12:00:00,17
BLLN0876ENA45,O,BXBB,,,1,1,2018/3/1 12:00:00,18
BLLN0876ENA45,O,BXBN,,,1,1,2018/3/1 12:00:00,19
BLLN0876ENA45,O,BXBM,,,1,1,2018/3/1 12:00:00,20
BLLN0876ENA45,O,PDAN,,,1,1,2018/3/1 12:00:00,21
BLLN0876ENA45,O,PDGC,,,1,1,2018/3/1 12:00:00,22
BLLN0876ENA45,O,BTB2,,,1,1,2018/3/1 12:00:00,23
BLLN0876ENA45,O,BTA1,,,1,1,2018/3/1 12:00:00,24
BLLN0876ENA45,O,BXAL,,,1,1,2018/3/1 12:00:00,25
BLLN0876ENA45,O,BXBH,,,1,1,2018/3/1 12:00:00,26
BLLN0876ENA45,O,BXAE,,,1,1,2018/3/1 12:00:00,27
BLLN0876ENA45,O,BXBX,,,1,1,2018/3/1 12:00:00,28
BLLN0876ENA45,O,BXBY,,,1,1,2018/3/1 12:00:00,29
BLLN0876ENA45,O,BXC1,,,1,1,2018/3/1 12:00:00,30
BLLN0876ENA45,O,BXC2,,,1,1,2018/3/1 12:00:00,31
BLLN0876ENA45,O,BXC3,,,1,1,2018/3/1 12:00:00,32
BLLN0876ENA45,O,PDGD,,,1,1,2018/3/1 12:00:00,33
BLLN0876ENA45,O,BXCB-A,,,1,1,2018/3/1 12:00:00,34
BLLN0876ENA45,O,BXBW-A,,,1,1,2018/3/1 12:00:00,35
BLLN0876ENA45,O,BQA2,,,1,1,2018/3/1 12:00:00,36
BLLN0876ENA45,O,PDHD,,,1,1,2018/3/1 12:00:00,37
BLLN0876ENA45,O,BXCC,,,1,1,2018/3/1 12:00:00,38
BLLN0876ENA45,O,PDHF,,,1,1,2018/3/1 12:00:00,39
BLLN0876ENA45,O,BXCD,,,1,1,2018/3/1 12:00:00,40
BLLN0876ENA45,O,BQAG,,,1,1,2018/3/1 12:00:00,41
BOFMDOE009V4N,X2,PDGF,AOFMDOE009V4N,,1,1,2018/3/1 12:00:00,1
BOFMDOE009V4N,X2,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,2
BOFMDOE009V4N,X2,PDRF,,,1,1,2018/3/1 12:00:00,3
BOFMDOE009V4N,X2,PDBA,PHM-4035-1M0018,,1,1,2018/3/1 12:00:00,4
BOFMDOE009V4N,X2,PDEE,,,1,1,2018/3/1 12:00:00,5
BOFMDOE009V4N,X2,PDDC,,,1,1,2018/3/1 12:00:00,6
BOFMDOE009V4N,X2,PDRC,PYE022    M1032,,1,1,2018/3/1 12:00:00,7
BOFMDOE009V4N,X2,PDAB,,,1,1,2018/3/1 12:00:00,8
BOFMDOE009V4N,X2,PDAL,,,1,1,2018/3/1 12:00:00,9
BOFMDOE009V4N,X2,PDTG,,,1,1,2018/3/1 12:00:00,10
