作業方法,製程,製程名稱,lastUpdatedDate,順序
C0B1,C0B1,C0B1,2018/3/1 12:00:00,20
C02H,C02H,C02H,2018/3/1 12:00:00,21
C021,C021,C021,2018/3/1 12:00:00,22
C0B2,C0B2,C0B2,2018/3/1 12:00:00,23
C0JK,C0JK,C0JK,2018/3/1 12:00:00,24
C022,C022,C022,2018/3/1 12:00:00,25
C069,C069,C069,2018/3/1 12:00:00,26
C0C1,C0C1,C0C1,2018/3/1 12:00:00,27
C0DP,C0DP,C0DP,2018/3/1 12:00:00,28
C0JR,C0JR,C0JR,2018/3/1 12:00:00,29
C023,C023,C023,2018/3/1 12:00:00,30
C06A,C06A,C06A,2018/3/1 12:00:00,31
C0B3,C0B3,C0B3,2018/3/1 12:00:00,32
C0JS,C0JS,C0JS,2018/3/1 12:00:00,33
C024,C024,C024,2018/3/1 12:00:00,34
C0D6,C0D6,C0D6,2018/3/1 12:00:00,35
C025,C025,C025,2018/3/1 12:00:00,36
C004,C004,C004,2018/3/1 12:00:00,37
C072,C072,C072,2018/3/1 12:00:00,39
C0FA,C0FA,C0FA,2018/3/1 12:00:00,40
C020,C020,C020,2018/3/1 12:00:00,1
C061,C061,C061,2018/3/1 12:00:00,5
C07X,C07X,C07X,2018/3/1 12:00:00,6
C071,C071,C071,2018/3/1 12:00:00,7
C0B0,C0B0,C0B0,2018/3/1 12:00:00,8
C021,C021,C021,2018/3/1 12:00:00,9
C072,C072,C072,2018/3/1 12:00:00,10
C068,C068,C068,2018/3/1 12:00:00,11
C0C0,C0C0,C0C0,2018/3/1 12:00:00,12
CW06,CW06,CW06,2018/3/1 12:00:00,13
C073,C073,C073,2018/3/1 12:00:00,14
C0F0,C0F0,C0F0,2018/3/1 12:00:00,15
C069,C069,C069,2018/3/1 12:00:00,16
C0G7,C0G7,C0G7,2018/3/1 12:00:00,17
C02R,C02R,C02R,2018/3/1 12:00:00,19
C074,C074,C074,2018/3/1 12:00:00,20
C010,C010,C010,2018/3/1 12:00:00,21
C0GD,C0GD,C0GD,2018/3/1 12:00:00,22
C08G,C08G,C08G,2018/3/1 12:00:00,23
C075,C075,C075,2018/3/1 12:00:00,24
C0EK,C0EK,C0EK,2018/3/1 12:00:00,25
C076,C076,C076,2018/3/1 12:00:00,27
C004,C004,C004,2018/3/1 12:00:00,28
C0F1,C0F1,C0F1,2018/3/1 12:00:00,29
C02S,C02S,C02S,2018/3/1 12:00:00,30
C005,C005,C005,2018/3/1 12:00:00,31
C0FA,C0FA,C0FA,2018/3/1 12:00:00,32
C02R,C02R,C02R,2018/3/1 12:00:00,1
C0GS,C0GS,C0GS,2018/3/1 12:00:00,2
C0B0,C0B0,C0B0,2018/3/1 12:00:00,3
C020,C020,C020,2018/3/1 12:00:00,4
C0B1,C0B1,C0B1,2018/3/1 12:00:00,5
C021,C021,C021,2018/3/1 12:00:00,6
C070,C070,C070,2018/3/1 12:00:00,7
C068,C068,C068,2018/3/1 12:00:00,8
